Inventory ID,Title,Person responsible,Others involved,Required work,Target completion date,Program to follow-up with (SH/BCCH program responsible),External,Author(s) (or name of org. if no author),Date created,"Date of last update (©related to website that is linked, not necessarily the resource)",Link,Date Link Checked,Target Audience,File Format,Master Tag (Level 1),Level 2A,Level 3A,Level 4A,Level 2B,Level 3B,Level 4B,Level 2C,Level 3C,Level 4C,Description,Health condition,Area of Focus,Keywords (see tags tab for information),Learning Event?  (Y/N),Corresponding clinician/parent resource,Sibling resources e.g. next steps,Notes,Person recommending,Age,Location
818,School Function Assessment (SFA),Lex,"Tanja, Debbie",,,,Internal – Evidence Centre,"Wendy J Coster, Theresa Deeney, Jane T Haltiwanger, Stephen M Haley ",Tool 1998,,see Ax Info Card spreadsheet for associated links,"July 19, 2021",Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"assesses elementary school students' performance of school-related functional activities, their support needs and participation in various school-related activity settings",All,"Hand, arm use, printing, Positioning, mobility, lower body, Swallowing, eating, drinking  , Communication, Thinking, cognition, Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Personal care, home routines","activities of daily living, ADL, self-care, assistance needed, development, independence, participation, executive functioning, self-efficacy, environment, ",N,N,,,Debbie & Claire,"Early Years (0-6 years), School Age (5-19 years)",
819,School Inclined Cut-out Desks,Claire,Ivonne M.  OT Debbie F.  (edited tags),,,,Internal,"Ivonne M. , OT & Jennifer Law OT (and OT students)",2018,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/UseofCutOutInclinedDesks.sflb.ashx,28-May-21,"families, caregivers, clincians, educators",Non-fillable PDF,,,,,,,,,,,Handout describing What is a cut-out desk with inclined surface and where should it be used? What are the best suggestions for classroom seating? Where can I find a cut-out desk? and references for further information,those with motor and/or visual impairments ,"hand use, writing/printing, vision, postural control","inclined desk, angled desk, slant board, angled support surface, writing support, treatment, accommodation, classroom furniture, postural support, ",N,,,,Debbie & Claire,,
820,School Version of the Assessment of Motor and Process Skills - 2nd Edition (School AMPS),Lex,"Tanja, Debbie",,,,Internal – Evidence Centre,"AG Fisher, K Bryze, BT Atchison",Tool 2007,,see Ax Info Card spreadsheet for associated links,"July 16, 2021",Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"evaluates performance quality of everyday tasks in a natural environment. The School AMPS evaluates a student’s quality of schoolwork task performance in typical classroom settings. The general AMPS is another version used for a broader range of ages, activities and environments. Training and certification required for AMPS and School AMPS administration and scoring.",All,"Positioning, mobility, lower body, Swallowing, eating, drinking  , Communication, Thinking, cognition, Behaviour, emotion, social skills, Learning, education","class room behaviour, safety, independence, Fine motor, Positioning, Gross motor, Coordination, Communication, Cognition and Executive function, Social skills",N,N,,,Debbie ,"School Age (5-19 years), Early Years (0-6 years)",
821,School-Aged Therapy: Therapy BC,Claire,,,,,External,TherapyBC,,,https://therapybc.ca/the-school-aged-therapy-sat/,"August 9, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,"Information about School-Aged Therapy, which provides occupational therapy and physiotherapy services to school-aged children and youth with special needs to assist them in meeting their educational goals and to help them achieve their highest level of independent functioning within their home, school and community settings ",various disabilities,,"SAT, Ministries of Educations, MCFD, Ministry of Children and Family Development, rehabilitation system, therapy-related programs and services, program guidelines, eligibility criteria, referral, provincial outreach program for autism and related disorders, POPARD, inclusion outreach, special education technology British Columbia, SETBC, inclusive education resources, individual education planning, for students with special needs, ministry of education, a guide to adaptations and modifications, IEP, special education services, manual of policies, procedures and guidelines, pediatric therapy, school, developmental delay, developmental disability, school entry, school exit",N,N,N,,,"Early Years, School Age, Youth",BC
822,SCI-University Wheelchair Skill e-Course,Debbie,,,,,External,SCI U (funded by Rick Hansen Institute),,,http://sci-u.ca/wheelchair/,May 31-21,"Clients, families, caregivers, clinicians, educators",online webinar,,,,,,,,,,,"One of a series of 10 online freely available courses designed for people with spinal cord injury. Takes approximately 30-45 minutes to complete, and includes quizzes to test self-knowledge on types of wheelchairs,  fit and  set-up, safety and maintenance, partners in care (therapists and vendors), transfers, wheelchair skills, (indoor, community,  advanced) and problem-solving past barriers with case examples. Other webinar topics include skin, pain, physical activity, nutrition, bowel and bladder, sexuality and fertility ",Spinal Cord Injury (or others in need of a wheelchair),"wheelchair use, mobility, ","manual wheelchair; manual mobility; equipment; postural support; prescription; training; environmental considerations; provision, maintenance, education",Y,,,Manual Mobility Wheeling,Debbie,,
823,Search and Rescue for Autism (SARA),Claire,,,,,External,Autism Canada,,,http://sarautism.org,4-Aug-21,"families, caregivers, clinicians, educators",web link,,,,,,,,,,,Information about search and rescue for autism. Includes resources for the autism community. ,autism,,"lost, social stories, first responders, public safety canada, wandering, bolting, prevention",N,,,,,All,Canada-Wide
824,Search for postural control and children : Medline,Debbie,? Andrea & Roslyn,web-ready; title delete Medline or update Medline to PubMed,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?cmd=PureSearch&term=((((posture%5Btiab%5D+OR+postural%5Btiab%5D)+AND+(((control%5Btiab%5D+OR+management%5Btiab%5D)+OR+alignment%5Btiab%5D)+OR+stability%5Btiab%5D))+AND+((((seat%5Btiab%5D+OR+seated%5Btiab%5D)+OR+seating%5Btiab%5D)+OR+sit%5Btiab%5D)+OR+sitting%5Btiab%5D))+AND+((((child%5Btiab%5D+OR+infant%5Btiab%5D)+OR+children%5Btiab%5D)+OR+childhood%5Btiab%5D)+OR+infants%5Btiab%5D)),May 20-21,"clinicians, researchers",weblink,,,,,,,,,,,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[tiab]) OR children[tiab]) OR childhood[tiab]) OR infants[tiab])),those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; ,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Research,Debbie,,
825,Search PubMed - Seating for Muscular Dystrophy or Spinal Muscular Atrophy,Debbie,? Andrea & Roslyn,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=seating%5BAll+Fields%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers",weblink,,,,,,,,,,,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[,those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; provision,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,
826,Search PubMed - Wheelchairs for Muscular Dystrophy or Spinal Muscular Atrophy,Debbie,? Andrea & Roslyn,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=%22Wheelchairs%22%5BMajr%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers",weblink,,,,,,,,,,,"NIH search using: ""Wheelchairs""[Majr] AND (""muscular dystrophy""[All Fields] OR ""spinal muscular atrophy""[All Fields])",those that require use of seating and mobility equipment,wheelchair use; manual mobility; power mobility,wheelchair; mobility; assessment; prescription; provision; ,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,
827,Search the proceedings of the International Seating Symposia ,Debbie,,update title to Vancouver International Seating Symposium and update link to http://seatingsymposium.com/previous-iss-brochures.php,,PMT,Internal,"SHHC (Maureen S. , Catherine Ellens, Roslyn L. ) (International Seating Symposium Committee)",not sure,,http://www.seatingandmobility.ca/InternationalSeatingSymposium.aspx,May 20-21,"clinicians, researchers",weblink,,,,,,,,,,,weblink to archived conference proceedings alternate years starting 2002 to 2020,those that require use of seating and mobility equipment,"seating; mobility, postural control; wheelchair, alternate positioning; pressure management; ",seating; assessment;provision; support surfaces; positioning; wheelchair; mobility; sitting posture; pressure injury; pressure sore; skin health; equipment; postural support; prevention; prescription; cushions; training; transportation; environmental considerations;,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Searches,Debbie,,
828,Seating assessment e-learning module,Debbie F. ,"Catherine E.  OT, Lynore M. PT, Maureen S.  OT/PT",revise content for currency. ,,PMT,Internal,Maureen S.  OT/PT,2007?,,https://learninghub.phsa.ca/Courses/19586/seating-module,May 28-21,clinicians,"webpages, videos, photos",,,,,,,,,,,freely available e-learning module that introduces therapists and therapy students to foundational knowledge and skills needed for seating and mobility assessment and interventions,those that require postural support and/or use seating and mobility equipment,"Sitting Posture; Seating; Wheelchair Use; Postural Control; Pressure Injury Prevention, Pressure Injury Mangement, Positioning, ","wheelchair; mobility; sitting posture; ; postural support; evaluation, measurement, prescription; training; ",Yes,,,,Debbie,,
829,Seating for Spinal Cord Injury Learning Modules ( New South Wales),Debbie,,update title to NSW ACI State Spinal Seating Professional Development Program; update link to https://aci.health.nsw.gov.au/networks/spinal-cord-injury/spinal-seating,,,External,New South Wales Ministry of Health,2008,2016,www.health.nsw.gov.au/gmct/spinal/sspdp/index.asp,June 2-21,clinicians,"webpages, pdf, videos",,,,,,,,,,,"freely available online education module designed for healthcare professionals to aquire clinical knowledge in seating and mobility assessment and interventions. Consists of 10 modules covering topics such as client profile, taking measurements,  evaluation of equipment, framework for intervention, postural interventions, pressure management, manual and propulsion assist and power wheelchairs.",SCI (and other physical disabilities that require seating and mobility interventions),"wheelchair use, mobility, posture, postural control, skin health","education, seating, mobility,  measurement,  evaluation, equipment, postural support, pressure injury prevention and management, propulsion-assist, wheelchairs. Sitting posture",Y,,,Education Online Learning,Debbie,,
830,Seizure First Aid Video,Maddy,,,,,External,Epilepsy Toronto,,,https://epilepsytoronto.org/about-epilepsy/learn-about-epilepsy/seizure-first-aid/,8-Jun-21,"families, caregivers, clinicians",web link,,,,,,,,,,,Videos with examples on what to do if you are with someone having a compulsive or non-compulsive seizure,epilepsy,,"epilepsy, seizure, compulsive, non-compulsive, first aid, video, what to do",N,,,,,,
831,Selective Control Assessment of the Lower Extremity (SCALE),Debbie,Tanja,,,,Internal – Evidence Centre,"Eileen G Fowler, Loretta A Staudt, Marcia B Greenberg, William L Oppenheim",Tool 2009,,see Ax Info Card spreadsheet for associated links,19-May-21,Clinicians,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,evaluates selective voluntary motor control of individuals with spastic cerebral palsy,cerebral palsy,"Play, recreation, physical activity, Positioning, mobility, lower body, Bone, muscle, skin health","motor control, movement quality, contracture, lower limb, hip, knee, ankle, foot, spasticity, ROM",N,N,,,,All,
832,Selective Mutism,Claire,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,,,https://anxietycanada.com/disorders/selective-mutism/,"August 26, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,General information on Selective mutism,selective mutism ,speech,"selective mutism, social anxiety, anxiety disorder",N,,,,Marilyn N. /Kim,All,
836,"Selective Mutism: An Assessment and Intervention Guide for Therapists, Educators and Parents",Steph,Tanja,,,CDBC?,External,Selective Mutism Association,,© 2021,https://bcch.andornot.com/en/permalink/catalog123299 ,"May 12, 2022","Families/caregivers, Clinicians",Other,Assessment,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,,,,"This book includes assessment and treatment information, case examples, easy-to-implement workbook sheets, and informative handouts for Selective Mutism. ","Language delay, communication disorder ",Communication,"selective mutism, assessment, intervention",N,,,,Lucy R. ,All,
837,"Selective Mutism: Giving Kids a Voice with Dr. Annie Simpson
",Claire,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,2014,,https://www.youtube.com/watch?v=C_qeJWkkwHU,"August 26, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,"Youtube Video about selective mutism that includes strategies for helping kids who are very ""shy"" or who have selective mutism be brave and talk at home, school and in public",selective mutism ,speech,"youtube video, selective mutism",Y,,,,Marilyn N. /Kim,,Universal
838,Self Advocate Net,Maddy,,,,,External,Self Advocate Net,,© 2021,https://selfadvocatenet.com/,10-Jun-21,"families, caregivers, children/youth",web link,,,,,,,,,,,"Information about self-advocacy, opportunities to join groups, and tools for starting an advocacy group ",,,"advocacy, community events, resources, employment, services, local groups, health, housing, relationships",N,,,,Cynthia V. ,,BC
840,Self-Identified Goals Assessment (SIGA) Protocol,Claire,,,,,External,,,,http://www.childdevelopment.ca/Libraries/Collaborative_Goal_Setting/Self_Identified_Goals_Protocol.sflb.ashx,"July 7, 2021",,,,,,,,,,,,,,,,,,,,,,,
841,Sensory handouts (SH),Alyssa,,Update for currency; add tags,,,Internal,Sunny Hill,,,http://therapybc.ca/handouts/#44-wpfd-sensory-equipment-use-in-schools,,School teachers,,,,,,,,,,,,,,,,N,,,,,,
842,Sensory Processing Measure Second Edition (SPM-2),Lex,"Tanja, Debbie",,,,Internal – Evidence Centre,"L. Diane Parham, Cheryl L. Ecker, Heather Kuhaneck, Diana A. Henry, Tara J. Glennon",Tool 2021,,see Ax Info Card spreadsheet for associated links,"July 19, 2021",Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"assesses sensory processing, praxis and participation in multiple environments. Second edition includes Infant/Toddler, Preschool, Child, Adolescent and Adult age levels.",All,"Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Personal care, home routines","sensory integration, perception, environment, Touch, Taste, Smell, Visual, Auditory, sensitivity, avoidance",N,N,,,,All,
844,Sensory Profile 2 (SP-2) ,Lex,"Tanja, Debbie",,,,Internal – Evidence Centre,Winnie Dunn,Tool 2014,,see Ax Info Card spreadsheet for associated links,"July 28, 2021",Clinicians,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"evaluates sensory processing patterns in the context of home, school, and community-based activities. Includes infant, toddler, child, short (child) and school companion forms. ",All,"Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Personal care, home routines, Play, recreation, physical activity, Learning, education","sensory processing, perception, environment, Touch, Taste, Smell, Visual, Auditory, sensitivity, avoidance",N,N,,,,"Infant/Toddler, Early Years, School Age",
846,Services for Children with Assistive Technology Needs,Debbie,,info needs to be integrated into online team description,,,Internal,Assistive Technology Team,,,document currently located in\CDR Redesign 2019\3_Clinician Portal\3_Content by Clinical Program\6_Neuromotor Content\PMT&ATT Content\documents from ATT\BCCH1613_AssistiveTechnologyTeam,,"Families, Caregivers, Clinicians",pdf,,,,,,,,,,,online brochure describing Neuromotor Program Assistive Technology Team services,"those benefiting from assistive technology interventions for communication, learning, mobility, play and/or control of their environment",Assistive Device Use; Communication; Learning; Play;,"communication aids,augmentative and alternate communication (AAC), language; literacy; assistive technology; wheelchair; mobility; equipment; function, switches, tablets, assessment; evaluation; prescription; computers, mobile technology, environmental control, mounting,",N,,,,Debbie,,
847,Services for Children with Positioning and Mobility Needs,Debbie,,Update title to Positioning Mobility Team. Description currently located on web under BCCH services but its very difficult to find (most team members had never seen it); description needs updating,,,Internal,Positioning Mobility Team,,,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/positioning-mobility,,"Families, Caregivers, Clinicians",webpage,,,,,,,,,,,description of Neuromotor Program Positioning Mobility Team services,"those benefiting from seating, positioning and/or mobility interventions for learning, mobility, play and/or control of their environment",Assistive Device Use; Postural Control; Mobility,"sitting, standing, lying posture, postural supports, mobility devices, wheelchair, walking aids, standing aids, assessment; evaluation; prescription;",N,,,Current seatingandmobility.ca topic/webpage: Clinical Resources Seating Programs/Services,Debbie,,
848,Services for Families (Referred by MCFD): Deltassist,Maddy,,,,,External,,,,https://deltassist.com/counselling/services-for-families-referred-by-mcfd,,,,,,,,,,,,,,,,,,,,,,,,
849,Services for Families: BC Family Hearing Resource Society,Claire,,,,,External,BC Family Hearing Resource Society,,,http://www.bcfamilyhearing.com/families/services-for-families/,"August 9, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Information about the Services for Families,"deaf, hard-of-hearing",,"intervention services, deaf and hard-of-hearing role models, family support, individualized, meaningful, intervention, support, programs, Surrey, Vancouver, Victoria, Home-Based, Centre-Based intervention, individual sign language services, Access to and support from Family Support Parents, Deaf and Hard-of-Hearing mentorship, Consultation to preschools and daycares, Consultation and collaboration with Community Service Providers and other professionals, Access to our supported educational platform: The Learning Place, Support and education to parents, caregivers and family members, 
Support, assistance and education, regarding the use of listening devices (hearing aids, cochlear implants, bone-anchored hearing aids), Access to current research, information and educational materials",N,N,N,,,"Infant/Toddler, Early Years",BC
850,Services for people with disabilities,Claire,,,,,External,Government of British Columbia,,,https://www2.gov.bc.ca/gov/content/family-social-supports/services-for-people-with-disabilities,"May 24th, 2021","Children/youth, families, caregivers, clinicians, educators",web link,,,,,,,,,,,"Information about programs and services for people with disabilities including supports and services, transition planning, and disability assistance",,,"navigating the health care system, supports and services, transition  planning, youth, young adults, disability assistance, funding",N,,,,,All,BC
851,SETT Framework,Debbie,,,,,External,Joy Zabala,,,https://joyzabala.com/Home.php,June 7-21,"clinicians, educators, families, caregivers","webpages, weblinks, pdfs, ",,,,,,,,,,,"SETT (Student, Environments, Tasks, and Tools) Framework is a four part model intended to promote collaborative decision-making in all phases of assistive technology service design and delivery from consideration through implementation and evaluation of effectiveness.  ",various disabilities,"assistive device use, communication, learning, ","assistive technology, augmentative and alternate communication (AAC),  education, SETT Framework",N,,,,Debbie,,
852,Sibling Support Project,Maddy,,,,,External,Sibling Support Project,,,https://siblingsupport.org/,Jun-16-21,"families, caregivers, children/youth, clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Supports for Families,Child/Youth Support Groups,,,,,,,Peer support groups for siblings of children with disabilities and health concerns,,,"siblings, disabilities, peer support",N,,,,,,Universal
853,Events: Sibling Support Project ,Claire,,,,,External,Sibling Support,, © 2000-2021,https://siblingsupport.org/events/,"September 7, 2021","families, caregivers, clinicians, educators",Web link,,,,,,,,,,,"Resources, workshops, training and peer support group for siblings of children with special health, devlopmental, and mental health concerns",various disabilities,mental health, ,Y,,,,Leslie L.,,Universal
854,"Simple Stuff Works Video Series on Positioning, Seating, plus the Goldsmith Indices of Body Symmetry ",Debbie,,,,,External,Simple Stuff Works,2018,,https://www.youtube.com/channel/UCJKeD00uyRGKQFqcXEOClsA/videos,May 28-21,"clinicians, researchers",video,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,Learn About Health Conditions,,,Access Training on Treatment and Care,"Webinars, Presentations, Blogs, and Podcasts",,"videos that describe impacts of being in one body position (lying, sitting) for an extended period, introduce postural care, positioning, and seating concepts, plus the Goldsmith Indices of Body Symmetry","Cerebral palsy , Brain injury, concussion, Neuromuscular, genetic and rare conditions, Developmental delay , Spinal cord injury, spina bifida","Positioning, mobility, lower body, Bone, muscle, skin health, Personal care, home routines, Assistive technology"," body alignment, positioning, measurement, evaluation, goal-setting, Lying, Posture; Positioning; Outcome Measurement,",Y,,,,Debbie,,
855,"Skin and Wound Care Resources, CL'ck - Connecting Learners with Knowledge (BC)",Debbie F. ,,,,,External,"Skin and Wound Care Community of Practice, supported by the British Columbia Provincial Nursing Skin & Wound Care Committee",,,https://www.clwk.ca/communities-of-practice/skin-wound-community-of-practice/,May 28-21,Clinicians,"webpages, weblinks, pdfs, videos, elearning modules",,,,,,,,,,,"online community of practice for wound care prevention and treatment. Compilation of resources includes online learning modules, decision-support tools, product information sheets, educational competencies, documentation, ",all,Skin Health; Pressure Injury Prevention and Management; Sitting Posture; Lying Posture; Wheelchair Use; Beds and mattresses,"pressure sore; pressure ulcer; wounds; seating; positioning;  cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",Y,,,,Debbie,,
856,SKIN SAFETY PROTOCOL: SKIN RISK ASSESSMENT AND PREVENTION OF SKIN BREAKDOWN ,Debbie,,,,,Internal,,,,http://policyandorders.cw.bc.ca/resource-gallery/Documents/BC%20Children's%20Hospital/CC.16.01%20Skin%20Safety%20Protocol%20Skin%20Risk%20Assessment%20and%20Prevention%20of%20Skin%20Breakdown.pdf,May 28-21,"clinicians, researchers",webpage,,,,,,,,,,,,,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, healing;",N,,,,Debbie,,
857,Slanted surfaces,Alicia; Stephanie (Debbie completed tags),"Ivonne M., OT, Jennifer L., OT, MOT student (Joanne) ",Traffic light the existing sys rev and develop a handout (done-Debbie),,,Internal,,2020,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/SlantedSurfacesHandout.sflb.ashx,May 28-21 (DF),"Clinicians, Educators, Families, Caregivers",pdf,,,,,,,,,,,Handout describing What are slanted surfaces and where should they be used? What does the research tell us about slanted surfaces? What are the best suggestions for using slant boards/angled surfaces and/or well-fitting school furniture? Where can I find a slant board? and References for further information,those with motor and/or visual impairments ,"hand use, writing/printing, vision, postural control","slant boards, angled support surface, writing support, treatment, accommodation, classroom furniture",N,,,"Sys rev: Castellucci, 2017; see Joanne's 2019 TL powerpoint",Debbie,,
858,Social Networking in Online Support Groups for Health: How Online Social Networking Benefits Patients,Claire,,,,,External,Jae Eun Chung,April 2013,,https://www.researchgate.net/publication/236112488_Social_Networking_in_Online_Support_Groups_for_Health_How_Online_Social_Networking_Benefits_Patients,"June 30, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,The present study sheds light on online social networking features in the context of health-related OSGs and provides practical lessons on how to improve the capacity of online support groups (OSGs) to serve the needs of their users.,various disabilities,,"uses and gratifications framework, motivation, features, needs, emotional, informational support, social interaction, connections,  friending, sharing of personal stories, blogs",N,,,,Kim,,
859,Social Thinking,Claire,,,,,External,Social Thinking,,,https://www.socialthinking.com/,"August 4, 2021","families, caregivers, clinicians, educators",web link,,,,,,,,,,,"Books and games, free courses and webinars, and other resources for social thinking development",various disabilities,social skills,"social skills, executive functioning, self-regulation, problem solving, books, digital products, courses, webinars",Y,,,,Marilyn N.  ,,Universal
860,Social Thinking Online Training,Maddy,,,,,External,Social Thinking,,,https://www.socialthinking.com/online-training/,"May 26th, 2021","clinicians, educators, families, caregivers",web link,Making Treatment Choices,"Learn About Treatment, Care and Activities","Function, Activity and 'How To' Resources",,,,,,,,"Live stream events, recorded videos, free webinars, and courses on social skills",various disabilities,social skills,"ADHD, autism, laugage delays, courses, webinars, education",Y,,,,,,Universal
861,"Sorting out the paperwork (criminal record check, tax forms, etc)",Maddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,SOS Approach to Feeding,,,,,,,,,,https://sosapproachtofeeding.com/,,,,,,,,,,,,,,,,,,,,,,Cathy C. ,,
863,Southlands Therapeutic Riding Soceity (STaRS)/Alderwood/Tsawwassen First Nation Camp: Zajac Ranch for Children,Claire,,,,,External,Zajac Foundation,,,https://zajacranch.com/stars/,"August 5, 2021","families, caregivers, clinicians",web link,,,,,,,,,,,Information about the STaRS/Alderwood/Tsawwassen First Nation Camp: Zajac Ranch for Children Camp,various disabilities,,"camper application and information, register, family appointed personal support worker application, financial assistance information, contact information,  Southlands Therapeutic Riding Society (STaRS), Alderwood Family Development Centre, Aboriginal, Indigenous, summer camp program, Tsawwassen First Nation, outdoor adventures, horseback riding, ropes, courses, lake swimming, campfire sing-alongs, an award ceremony,  end-of-camp dance",N,N,N,,,"Youth, School Age",Canada-wide
864,BCCH Tone Management Clinic,Tanja,Carolyn C,add,,,Internal,BCCH,,2022,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/tone-management,April 28 2022,"Families/caregivers, Clinicians",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,Assessment and Treatment Services,BC Children's Hospital and Sunny Hill Health Centre Services,,,,,,,"Our team sees children who have problems with tone or tension in their muscles. We: - assess children with hypertonia (spasticity), dystonia, spasms, cerebral palsy, brain injuries or other neuromotor problems
assess your child's tone and how it affects your child
- discuss treatment options to help your child be more comfortable and allow him or her to participate in activities
- make recommendation such as physical therapy, medication, or referral for surgery","Cerebral palsy , Brain injury, concussion, Developmental delay , Spinal cord injury, spina bifida, Neuromuscular, genetic and rare conditions, All","Bone, muscle, skin health",tone management,N,N,N,N,Carolyn C.,All,BC
865,Special Education,Maddy,,,,,External,Government of BC,,© 2021,https://www2.gov.bc.ca/gov/content/education-training/k-12/administration/legislation-policy/public-schools/special-education,03-Aug-21,"families, caregivers, clinicians, educators, children/youth",web link,"Services, Supports & Community Resources",Find Care and Support Services in BC,School Supports,Government and School District Resources,,,,,,,"Information about the Special Education policy, including its purpose, use, content, and related procedures",,,"special education, policy, inclusion, placement, planning, IEP, evaluation, reporting, accountability, appeals, procedures",N,N,N,,,All,BC
866,"Special Education Services: A Manual of Policies, Procedures and Guidelines",Claire,,,,,External,Government of British Columbia,2016,,https://www2.gov.bc.ca/assets/gov/education/administration/kindergarten-to-grade-12/inclusive/special_ed_policy_manual.pdf,"August 4, 2021","Families, caregivers, clinicians, educators",web link,,,,,,,,,,,Special education policy manual,various disabilities,,"individual education plan, services, ministry of education, provincial resource program, ",N,,,,BCAAN,"Early Years, School Age, Youth",BC
867,Special Education Technology of British Columbia (SET-BC),Debbie,,Update link to https://www.setbc.org,,,External,SET-BC,,,https://www.setbc.org/,"September 7, 2021","Educators, Clinicians, Families","webpages,  weblinks, pdfs, videos",,,,,,,,,,,BC Ministry of Education program that supports students' learning and communication through use of assistive technologies; resourceSET for student and classroom resources; learningSET for professional development; blog posts; how-tos for using specific products and strategies;  accessible books; ,those with physical disabilities who can benefit from assistive technologies for learning and communication,assistive device use,"education technology, switch use, tablets, computers, alternate access, specialized software, augmentative and alternate communication, AAC,",no,,,Current SeatingandMobility.ca topic/webpage: Education Online Learning,Debbie,,
868,Special Olympics,Claire,,,,,External,Special Olympics British Columbia,,© 2021,https://www.specialolympics.ca/british-columbia,"August 4, 2021","children/youth, families, caregivers, clinicians",web link,,,,,,,,,,,Sports programs and competitions for people with disabilities of all ages,various disabilities,,"sports, competitions, olympics, mobility, social skills, youth engagement, intellectual disabilities, intellectual disability",N,,,,Angie I. ,All,BC
869,Specialized Sitter Training Overview: The BC Association for Child Development and Intervention,Claire,,,,,External,The BC Association for Child Development and Intervention,,,https://www.bcacdi.org/overview,"August 5, 2021","families, caregivers, clinicians, support workers",web link,,,,,,,,,,,"The Specialized Sitter Training will assist individuals to further develop their knowledge, understanding, skills and attitude so they are better prepared to participate in the child specific training provided by the child’s family.  This combination of training opportunities will increase the Specialized Sitter’s confidence and competence in providing safe, quality and fun care for children and youth with special needs and their siblings, under the direction of the family. ",various disabilities,,"certification, training prerequisities, audit course, learn more, contact, enroll, background guide, parent guide, guide for those who are interested in learning more about being a Specialized Sitter",Y,N,N,,,All,BC
870,Spectronics Inclusive Learning Technologies Blog,Debbie,,,,Assistive Technology,External,Spectronics Inclusive Learning Technologies,,,http://www.spectronics.com.au/blog/,June 2-21,"families, caregivers, clinicians","webpages, weblinks, videos",,,,,,,,,,,"assistive technology-related blog posts including techniques and tips, tools and resources,  apps and mobile learning, conferences and events",various disabilities,"assistive device use, communication, mobility, play, learning, ","assistive technology, switches, augmentative and alternate communication (AAC), partner-assisted scanning, dynamic displays, picture symbols, accesible books, education, play",N,,,,Debbie,,
