"Only applicable to the Digital Team, Claire, Steph and Kim - Legend for rows 2 and 3: X = internal use only, ID = internal use AND column to be included in database created by the Digital Lab, E = external",,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; Content - include on blade,Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,Primary toggle/filter,Advanced search/filter,,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"June 23, 2021",,,,,,,,,635,NICE Pathways and Guidelines for Pressure Ulcers Prevention and Management (UK) Information for the Public,web-ready,Debbie,,,,,? Positioning Mobility,National Institute for Health and Care Excellence (NICE),,2014,2018,https://www.nice.org.uk/guidance/cg179/ifp/chapter/About-this-information,"September 7, 2021","families, caregivers, educators, clinicians","OT, PT, HCP students",guideline; website,webpages,Background,,,,,,,,,,Background,"Information for the general public regarding pressure ulcer prevention and management, includes what is a pressure ulcer, assessing risk, prevention and interventions; questions to ask about pressure ulcers, sources of advice and support",all that encompass restricted body movement or use of medical and/or assistive technology equipment,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses; ,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",N,yes,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,N/A,,566,,,all,
"June 23, 2021",,,,,,,,,635,NICE Pathways and Guidelines for Pressure Ulcers Prevention and Management (UK) Information for the Public,web-ready,Debbie,,,,,,National Institute for Health and Care Excellence (NICE),,2014,2018,https://www.nice.org.uk/guidance/cg179/ifp/chapter/About-this-information,"September 7, 2021","families, caregivers, educators, clinicians","OT, PT, HCP students",guideline; website,webpages,Intervention,,,,,,,,,,Intervention,"information for the general public regarding pressure ulcer prevention and management, includes what is a pressure ulcer, assessing risk, prevention and interventions; questions to ask about pressure ulcers, sources of advice and support",all that encompass restricted body movement or use of medical and/or assistive technology equipment,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses; ,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",N,yes,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,N/A,,567,,,all,
June 23-21,,,,,,,,,635,NICE Pathways and Guidelines for Pressure Ulcers Prevention and Management (UK) Information for the Public,web-ready ,Debbie,,,,,,National Institute for Health and Care Excellence (NICE),,2014,2018,https://www.nice.org.uk/guidance/cg179/ifp/chapter/About-this-information,September,"families, caregivers, educators, clinicians","OT, PT, HCP students",guideline; website,webpages,Assessment,,,,,,,,,,Assessment,"information for the general public regarding pressure ulcer prevention and management, includes what is a pressure ulcer, assessing risk, prevention and interventions; questions to ask about pressure ulcers, sources of advice and support",those that encompass restricted body movement or use assistive technology,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses; ,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing;  goal-setting; risk assessment, nutrition",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,996,,,all,
June 23-21,,,,,,,,,636,NICE Pressure Ulcer Prevention and Management Pathways (UK),web-ready ,Debbie,,,,,,National Institute for Health and Care Excellence (NICE),,,2021,https://pathways.nice.org.uk/pathways/pressure-ulcers,May 20-21,"clinicians, researchers, policy makers","OT, PT, Drs, Nurses, HCP students",website with interactive flowchart; webpages to downloadable pdfs,"webpages, pdfs",Intervention,,,,,,,,,,Intervention,"interactive clinical practice pathway provides specialized knowledge supported by practice guidelines and evidence regarding wound care including pressure injury assessment, prevention and interventions; includes links to multiple resources",those that encompass restricted body movement or use assistive technology,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses; ,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing;  goal-setting; risk assessment",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,993,,,all,
June 23-21,,,,,,,,,636,NICE Pressure Ulcer Prevention and Management Pathways (UK),web-ready ,Debbie,,,,,,National Institute for Health and Care Excellence (NICE),,,2021,https://pathways.nice.org.uk/pathways/pressure-ulcers,May 20-21,"clinicians, researchers, policy makers","OT, PT, Drs, Nurses, HCP students",website with interactive flowchart; webpages to downloadable pdfs,"webpages, pdfs",Assessment,,,,,,,,,,Assessment,"interactive clinical practice pathway provides specialized knowledge supported by practice guidelines and evidence regarding wound care including pressure injury assessment, prevention and interventions; includes links to multiple resources",those that encompass restricted body movement or use assistive technology,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use; Beds and Mattresses; ,"skin health, pressure injury; pressure sore; pressure ulcer; wounds; seating; sitting posture; lying posture; positioning; wheelchair; cushions; equipment; prescription; healing;  goal-setting; risk assessment",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Guidelines,Debbie,,N/A,994,,,all,
June 23-21,,,needs to be updated to developers website as suggested under work required; well-referenced assessment,,,,,,637,Nilsson & Durkin 2014, update needed,Debbie,,"Update title to:"" 'Driving to Learn' approach (for power wheelchairs)"".  We don’t have permission to post downloaded pdf online, need to modify link to developer's website https://www.lisbethnilsson.se/en/",,,,Developers,,,,www.seatingandmobility.ca/Libraries/Pdfs/Nilsson_Durkin_2014.sflb.ashx,May 28-21 (need to update link to https://www.lisbethnilsson.se/en/),"clinicians, researchers","OT, PT, HCP students","website, assessment form","weblinks to pdfs, videos",Assessment,,,,,,,,,,Assessment,"freely available resources supporting the use of 'Driving to Learn' approach for powered mobility, including description, videos, assessment tools, research",those that have difficulty standing and walking and/or those who have cognitive impairments,Mobility; Wheelchair Use; Learning,"wheelchair, mobility, training, learning, skill progression",N,,,Current SeatingandMobility.ca topic/webpage: Power Mobility Assessment,Debbie,,N/A,1064,,,all,
June 23-21,,,needs to be updated to developers website as suggested under work required; well-referenced assessment,,,,,,637,Nilsson & Durkin 2014, update needed,Debbie,,"Update title to:"" 'Driving to Learn' approach (for power wheelchairs)"".  We don’t have permission to post downloaded pdf online, need to modify link to developer's website https://www.lisbethnilsson.se/en/",,,,Developers,,,,www.seatingandmobility.ca/Libraries/Pdfs/Nilsson_Durkin_2014.sflb.ashx,May 28-21 (need to update link to https://www.lisbethnilsson.se/en/),"clinicians, researchers","OT, PT, HCP students","website, assessment form","weblinks to pdfs, videos",Intervention,,,,,,,,,,Intervention,"freely available resources supporting the use of 'Driving to Learn' approach for powered mobility, including description, videos, assessment tools, research",those that have difficulty standing and walking and/or those who have cognitive impairments,Mobility; Wheelchair Use; Learning,"wheelchair, mobility, training, learning, skill progression",N,,,Current SeatingandMobility.ca topic/webpage: Power Mobility Assessment,Debbie,,N/A,1065,,,all,
,,,,,,,,,638,NMD Outcome Measures,Web-ready,Stephanie  ,,Link is active,N/A,,,External,,,,TREAT-NMD Neuromuscular Network: Registry of Outcome Measures,,,,Website,Link,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring",Database of measures,neuromuscular,,outcome measures,N,,,,,,N/A,627,,,Beginner,
Follow-up re: source (is it okay to use SpringerLink?),,,2017,,,,,,639,Nonverbal and Language-Reduced Measures of Cognitive Ability: A Review and Evaluation,,Claire,,,,,,SpringerLink,"Daniel D. Drevon, Rachel M. Knight, Sharon Bradley-Johnson",,,https://link.springer.com/article/10.1007%2Fs40688-016-0114-x,"September 9, 2021",clinicians,All,Journal article,web link,Assessment,,,,,,,,,,Assessment,"With the number of new and revised nonverbal and language-reduced tests of cognitive ability, selection and interpretation of appropriate measures can be complicated. Seven nonverbal or language-reduced tests with normative data collected within the last 15 years were evaluated.",no specific diagnosis,,"nonverbal measures of intelligence, language-reduced tests of cognitive ability, measures, selection, nonverbal, evaluation, technical adequacy, test selection, interpretation, variables, implications for practice and research ",N,N/A,N/A,,Jen E. ,All,,1398,,,,
June 23-21,,,,,,,,,640,Nordic Seating Symposium,web-ready,Debbie,,,,,,Nordic Seating Symposium committee,,,,https://nss2022.is/ ,June 2-21,"Clinicians, researchers, families, caregivers, medical equipment suppliers","OT, PT, Dr., recreation therapists, HCP students",website,webpages,Intervention,,,,,,,,,,Intervention,Supports advancing seating and mobility clinical practice and research through hosting the  annual Canadian Seating and Mobility conference in Metro Toronto. Website provides information about the upcoming conference.,those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,Education Courses/Workshops,Debbie,,N/A,1085,,,all,
June 23-21,,,,,,,,,640,Nordic Seating Symposium,web-ready,Debbie,,,,,,Nordic Seating Symposium committee,,,,https://nss2022.is/ ,June 2-21,"Clinicians, researchers, families, caregivers, medical equipment suppliers","OT, PT, Dr., recreation therapists, HCP students",website,webpages,Assessment,,,,,,,,,,Assessment,Supports advancing seating and mobility clinical practice and research through hosting the  annual Canadian Seating and Mobility conference in Metro Toronto. Website provides information about the upcoming conference.,those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,Education Courses/Workshops,Debbie,,N/A,1086,,,all,
"Repeated in ""Assessments & measures."" Needs to be consolidated. ",,,2021,,,,,,641,Northern Health Assessment Network,Ready for upload,Tanja,,add,n/a,"June 23, 2021",,Northern Health Authority,Northern Health Authority,?,2021,https://www.northernhealth.ca/services/programs/northern-health-assessment-network-nhan#autism#complex-developmental-behavioural-conditions-cdbc,"June 23, 2021",all,all,web,web link,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",The Northern Health Assessment Network (NHAN) is a provincial program for children and youth living in Northern BC that provides diagnostic assessments for children and youth (ages 0-18) who are suspected of having an Autism Spectrum Disorder (ASD) or other neurodevelopmental conditions through either the BC Autism Assessment Network (BCAAN) or the Complex Developmental Behavioural Conditions (CDBC) program which includes Fetal Alcohol Spectrum Disorder (FASD) assessments.,"autism, fasd, complex developmental and behavoural conditions",varied,"asd, autism, autism spectrum disorder, fasd, fetal alcohols spectrum disorder",N,Y,N/A,,Bill,,,463,,,Beginner,
"Repeated in ""Community supports and services."" ? Consolidate ",,,2021,,,,,,641,Northern Health Assessment Network,Ready for upload,Tanja,,add,n/a,"June 23, 2021",,Northern Health Authority,Northern Health Authority,?,2021,https://www.northernhealth.ca/services/programs/northern-health-assessment-network-nhan#autism#complex-developmental-behavioural-conditions-cdbc,"June 23, 2021",all,all,web,web link,Assessment,,,,,,,,,,Assessment,,"autism, fasd, complex developmental and behavoural conditions",varied,"asd, autism, autism spectrum disorder, fasd, fetal alcohols spectrum disorder",N,Y,N/A,,Bill,,N/A,849,,,Beginner,
June 23-21,,,,commercially available product used for measuring pressure distribution in clinical practice and research,,,,,642,Novel,update weblink,Debbie,,,,,,Novel,,,,https://www.novel.de/products/,May 28-21,"clinicians, researchers","OT, PT  HCP students","webpages,","webpage, weblnks, pdf, ",Assessment,,,,,,,,,,Assessment,"various body pressure mapping systems used for assessment of pressure injury risk including wheelchair, mattress; videos ",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Manufacturer of Mapping Systems,Debbie,,N/A,794,,,all,
June 23-21,,,,commercially available product used for measuring pressure distribution in clinical practice and research,,,,,642,Novel,update weblink,Debbie,,,,,,Novel,,,,https://www.novel.de/products/,May 28-21,"clinicians, researchers","OT, PT  HCP students","webpages,","webpage, weblnks, pdf, ",Intervention,,,,,,,,,,Intervention,"various body pressure mapping systems used for assessment of pressure injury risk including wheelchair, mattress; videos ",those that encompass restricted body movement or who are at risk for pressure ulcers,Skin Health; Pressure injury Prevention and Management; Sitting Posture; Lying Posture; Seating; Wheelchair Use;,"pressure injury; pressure sore; pressure ulcer; wounds; measurement, evaluation, ",N,,,Current SeatingandMobility.ca topic/webpage: Pressure Management Manufacturer of Mapping Systems,Debbie,,N/A,795,,,all,
,,,,,,,,,643,NSIG Outcome Measures Manual 2009 Full-FINAL April19.docm,May need updating,Ivonne,,Update for currency. ,,,,,,,,,,,,,,"Assessment, Diagnosis & Monitoring",,,,,,,,,,"Assessment, Diagnosis & Monitoring",,,,,,,,,,,N/A,649,,,,
Vetting completed to criteria objectivity/conflict of interest. Folow-up re: new link to be developped hopefully by the end of the year. ,,,unsure,,,,,,644,Nursing Support Services ,Web-ready,Claire,N/A,,,,,"Internal, Sunny Hill Health Centre at BC Children's Hospital",Sunny Hill Health Centre at BC Children's Hospital,,© 2021,http://www.bcchildrens.ca/our-services/sunny-hill-health-centre/our-services/nursing-support,"August 3, 2021","families, caregivers, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,"Nursing support for parents, caregivers and school staff of children/youth with medical complexities, ",children with medical complexities ,,"nursing, assessment, respite, in-home care, at home program, tracheostomy, supported ventillation, palliative, peritonial dialysis, school, diabetes, tube feeds, seizure disorders, oral suctioning, catherization",N,N/A,N/A,,Leslie L. ,All,BC,88,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,645,Occupational Therapy: BC Children's Hospital,Web-ready,Maddy,,,,,,"Internal, BC Children's Hospital",BC Children's Hospital,,,http://www.bcchildrens.ca/our-services/hospital-services/occupational-therapy,"September 20, 2021","families, caregivers, clinicians",All,Health-related service,web link,"Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources",We assess and treat children with special needs from infancy through adolescence,no specific diagnosis,,"occupational therapy, assessment, treatment, children, youth, toddler, infant, early years, school age, BC Childnren's Hospital, classroom, school, wheelchairs, equipment, splints, groups, social interaction, self-expression",N,N/A,N/A,,,All,BC,857,,,,
June 23-21,,,,,,,,,646,Oceania Seating Symposium,web-ready,Debbie,,,,,,Oceania Seating Symposium committee,,,,http://oceaniaseatingsymposium.com/,June 2-21,"Clinicians, researchers, families, caregivers, medical equipment suppliers","OT, PT, Dr., recreation therapists, HCP students",website,webpages,Intervention,,,,,,,,,,Intervention,Supports  advancing seating and mobility clinical practice and research through hosting a conference that takes place typically every two years alternating between New Zealand and Australia. Website provides information about the upcoming conference and webinars and links to past conference programs.,those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,,Debbie,,N/A,1091,,,all,
June 23-21,,,,,,,,,646,Oceania Seating Symposium,web-ready,Debbie,,,,,,Oceania Seating Symposium committee,,,,http://oceaniaseatingsymposium.com/,June 2-21,"Clinicians, researchers, families, caregivers, medical equipment suppliers","OT, PT, Dr., recreation therapists, HCP students",website,webpages,Assessment,,,,,,,,,,Assessment,Supports  advancing seating and mobility clinical practice and research through hosting a conference that takes place typically every two years alternating between New Zealand and Australia. Website provides information about the upcoming conference and webinars and links to past conference programs.,those that encompass restricted body movement ,"wheelchair use, mobility, sitting posture, lying posture, standing posture, postural control, learning, assistive device use, skin health","skin health, pressure injury prevention and management;postural support; seating; sitting posture; lying posture; positioning; wheelchair; sleep, beds, mattresses, cushions; equipment; prescription; standing, ambulation aids, supportive walking, education,  training, research",Y,,,,Debbie,,N/A,1092,,,all,
Ask Kim about ,,,,,,,,,647,Odin Books,Web-ready,Claire,N/A,,,,,"External, Odin Books",Odin Books,,© 2010-2021,https://odinbooks.com/,"Yes, May 26th, 2021","families, caregivers, clinicians, educators, children/youth",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,"Book store with specilaized books, games for mental health and various disabilities",various disabilities,,"books, dvds, games, posters, puppets, puzzles, sensory integration tools, toys",N,N/A,N/A,,Armansa G. ,,Universal,99,,,N/A,
Sept 24,,,,,,,,,648,Online Family Resource Centre: Holland Bloorview,Web-ready,Anosha,,,,,,Holland Bloorview Kids Rehabilitation Hospital,Holland Bloorview Kids Rehabilitation Hospital,,2021,https://hollandbloorview.ca/services/family-workshops-resources/family-resource-centre/online-family-resources-centre,,"families, caregivers, clinicans, children, youth, researchers",All,Website/page,web link,Community supports and resources,,,,,,,,,,Community supports and resources,The page provides information about the resources and services available at Holland Bloorview Kids Rehabilitation Hospital with an emphasis on financing support for children with disbailities,various disabilities,varied,"disabilities, rehabilitation, hospital, program, services, children, families, support, ",N,N,N,,,All,Not applicable,313,,,Introductory,
June 23-21,,,,,,,,,649,"Online Wheelchair Service Training Series- (Safe Wheelchair Transfer and Maintenance)
. ",web-ready,Debbie,,,,,,International Society of Wheelchair Professionals,,2021,,https://wheelchairnetwork.org/iswp-online-courses/,June 18-21,"families, caregivers, educators, clinicians, equipment suppliers","OT, PT, rec therapist",online learning modules,"webpages with weblinks, videos,images  pdfs",Intervention,,,,,,,,,,Intervention,"This suite of three Wheelchair Safety Courses (Safe Wheelchair Transfer, Wheelchair Maintenance- Manual and Wheelchair Maintenance- Power) was developed by University of Pittsburgh and the American Institutes for Research. These freely available modules have been designed for use by the public.",those needing use of a wheelchair,"Wheelchair Use, Safety, ","wheelchair; mobility; equipment; training; education, safety, ",Y,,,,Debbie,,N/A,1311,,,all,
June 23-21,,,,,,,,,649,"Online Wheelchair Service Training Series- (Safe Wheelchair Transfer and Maintenance)
. ",web-ready,Debbie,,,,,,International Society of Wheelchair Professionals,,2021,,https://wheelchairnetwork.org/iswp-online-courses/,June 18-21,"families, caregivers, educators, clinicians, equipment suppliers","OT, PT, rec therapist",online learning modules,"webpages with weblinks, videos,images  pdfs","Services, Supports and Community Resources",,,,,,,,,,"Services, Supports and Community Resources","This suite of three Wheelchair Safety Courses (Safe Wheelchair Transfer, Wheelchair Maintenance- Manual and Wheelchair Maintenance- Power) was developed by University of Pittsburgh and the American Institutes for Research. These freely available modules have been designed for use by the public.",those needing use of a wheelchair,"Wheelchair Use, Safety, ","wheelchair; mobility; equipment; training; education, safety, ",Y,,,,Debbie,,N/A,1312,,,all,
,,,,,,,,,650,Ontario Centre of Excellence for Child Mental Health Measures Database,Web-ready,Stephanie  ,,Check link,,,,,,,,https://www.cymh.ca/Modules/MeasuresDatabase/en/,,,,,,,,,,,,,,,,,Database of measures,,,,,,,,,,N/A,689,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,651,Orthopaedics: BC Children's Hospital,Web-ready,Maddy,,,,,,"Internal, BC Children's Hospital ",BC Children's Hospital,,,http://www.bcchildrens.ca/our-services/clinics/orthopaedics,"September 21, 2021","families, caregivers, clinicians",All,Health-related service,web link,"Services, Supports, and Community Resources",,,,,,,,,,"Services, Supports, and Community Resources","We diagnose and treat a broad range of musculoskeletal problems. As well as providing general pediatric orthopaedic services, we offer specialized clinics for children with scoliosis and spinal deformities, neuromuscular diseases, leg length discrepancies, musculoskeletal oncology, and traumas. ",No specific diagnosis,,"musculoskeletal, orthopaedic services, scoliosis, spinal deformities, neuromuscular diseases, leg length discrepancies, musculoskeletal oncology, traumas, BC Children's Hospital, resources",N,N/A,N/A,,,All,BC,858,,,,
,,,,,,,,,652,OT Seeker (Systematic Evaluation of Evidence),Web-ready,,,Check link,N/A,,,,,,,,,Clinicians,OT,,,Intervention,,,,,,,,,,Intervention,,,,,N,,,,,,N/A,936,,,,
Vetting completed to criteria objectivity/conflict of interest. Follow-up re: currency. Should we still include though it was from 2015?,,,2015,,,,,,653,Ottawa Personal Decision Guides: Patient Decisions Aids: The Ottawa Hospital Research Institute,,Claire,,,,,,,,2015,,https://decisionaid.ohri.ca/decguide.html,"September 14, 2021","families, caregivers, clinicians",All,Website/page,web link,Intervention,,,,,,,,,,Intervention,"The Ottawa Personal Decision Guide (OPDG) and Ottawa Personal Decision Guide for Two (OPDGx2) are designed for any health-related or social decisions. They can help people identify their decision making needs, plan the next steps, track their progress, and share their views about the decision.",no specific diagnosis,,"personal decision guide, health-related or social decisions, decision making needs, plan the next steps, track progress",N,N/A,N/A,,,All,,1343,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,654,Our Dogs: Pacific Assistance Dogs Society (PADS),,Claire,,,,,,Pacific Assistance Dogs Society (PADS),Pacific Assistance Dogs Society (PADS),,,https://pads.ca/assistance-dogs/,"September 14, 2021","families, caregivers, clinicians",All,Website/page,web link,"Services, Supports, and Community Resources",,,,,,,,,,"Services, Supports, and Community Resources",Information about dogs provided through Pacific Assistance Dogs Society (PADS),no specific diagnosis,,"service dogs, post-traumatic stress disorder, PTSD service dogs, hearing dogs, facility dogs, dogs,  disability, child, adult, physical, social, emotional, improvement, application",N,N/A,N/A,,Cynthia,All,,486,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,655,Our Program: Canuck Place Children's Hospice,Web-ready,Claire,,,,,,"External, Canuck Place Children's Hospice",Canuck Place Children's Hospice,,,https://www.canuckplace.org/our-program/,"August 5, 2021","families, caregivers, clinicians",all,Program,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,"We are there with families throughout the entire span of a child’s life to provide comfort and care; from the point of diagnosis and progression of illness, to death and beyond.",various disabilities,,"pediatric palliative care provider, clinical care, medical respite care, 24-hour nursing phone support, recreation therapy, counselling, end-of-life care, education, art, school program, crafts",N,N,N,,,All,BC,360,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,656,Our Programs: AutismBC,Web-ready,Claire,N/A,,,,,"External, Autism Society of British Columbia",Autism Society of British Columbia,,©2021,https://www.autismbc.ca/programs/,26-May-21,"families, caregivers, clinicians, children/youth",All,Program,web link,Community supports & services,,,,,,,,,,Community supports & services,"Information about programs including parent support, groups, workshops and connecting with the resource team. All are available to support families and therapy teams.",autism,,"learning, connection, social group, support, blog, events, membership",Y,N/A,N/A,,Steph (vetted),All,BC,138,,,,
Vetting completed to criteria objectivity/conflict of interest,,,2010,,,,,,657,Out of my Mind,Web-ready,Maddy,N/A,,,,Tone Management,"Internal, Family Support & Resource Centre",Family Support and Resource Centre,2010,,https://bcch.andornot.com/en/permalink/catalog119823,30-Aug-21,"families, caregivers, children/youth",All,Book,web link,Community Supports and Services,,,,,,,,,,Community Supports and Services,Young adult book about an adolescent who refuses to be defined by cerebral palsy,,,"book, young adult, youth, cerebral palsy",N,N/A,N/A,,Sydelle M. ,,BC and Yukon,254,,,,
Folllw-up with Tanja when update completed,,,,,,,,,658,"Outdoor Recreation – Hiking, rock climbing",,Tanja,Amber P./Andrea,Integrate evidence and update for currency,,,,,,,,,,,,,,Intervention,,,,,,,,,,Intervention,,,,,,,,,,,,,,,,
Jun-15-21,,,,,,,,,659,Outpatient Guide: Sunny Hill,Web-ready,Maddy,N/A,,,,,"Internal, Sunny Hill Health Centre",Sunny Hill Health Centre,,,http://www.bcchildrens.ca/Sunny-Hill-Health-Centre-Site/Documents/sunny-hill-outp_48466039%20%285%29.pdf,Jun-15-21,"families, caregivers",All,Guide,pdf,Community Supports and Services,,,,,,,,,,Community Supports and Services,Guide for families with children being treated as outpatients at Sunny Hill,,,"guide, programs, services, care team, FAQ, worksheet",N,N/A,N/A,,,,BC,290,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,660,Outreach and Regional Clinics,web ready,Claire,N/A,,,,,"Internal, Child Health BC",Child Health BC,,© 2020,https://www.childhealthbc.ca/initiatives/outreach,"August 4, 2021","families, caregivers, clinicians",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,Information about outreach and regional clinics ,All,,"navigating the health care system, complex care needs, telehealth, tele-picu/ed sites, virtual care, subspecialty care, community, pediatric, BC Children's Hospital, community-based health care teams",N,N/A,N/A,,,All,BC,123,,,,
,,,,,,,,,661,Overview of Goal setting tools,May need updating,Stephanie,,Update for currency; add tags,,,,Sunny Hill,"Sandy Tatla, OT",,,,,,All,,,,,,,,,,,,,,Handout,All,,Goal setting,N,Collaborative goal setting with children and families in rehabilitation,Collaborative Goal Setting saved search; Collaborative Goal Setting resource overview (text),,,,N/A,905,,,,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,663,Pacific Autism Family Network ,Web-ready,Claire,N/A,,,,,"External, Pacific Autism Family Network",Pacific Autism Family Network,,©2021,https://pacificautismfamily.com/,"July 27, 2021","families, caregivers, children/youth , clinicians, researchers, knowledge translation specialists",All,Website/page,web link,Community supports & resources,,,,,,,,,,Community supports & resources,network of supports ,autism,,"knowledge centre, knowledge creation, knowledge translation, bursaries, family and youth support and groups",N,N/A,N/A,,Leslie L. ,All,Canada-Wide,37,,,N/A,
,,,,,,,,,664,Paediatric Glascow Coma Scale,Check with acute rehab re: worthwhile including. Kristen noted that it is likely worth including,Tanja,,Add from rolodex,,,,,,,,https://qxmd.com/calculate/calculator_181/pediatric-glasgow-coma-scale,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,718,,,,
June 23-21,,,,,,,,,666,"Paleg & Livingstone, 2015, Outcomes of gait trainer use in home and school settings for children with motor impairments: a systematic review",web-ready ,Debbie,,,,,,Sage publisher; SHHC author,Roslyn L. ,2015,,https://journals.sagepub.com/doi/abs/10.1177/0269215514565947,May 20-21,"clinicians, researchers","OT, PT, HCP students",peer-reviewed journal article,"webpage, pdf ",Assessment,,,,,,,,,,Assessment,peer-reviewed journal article describing systematic review of gait trainers outcomes for children with motor impairment,neuromotor disorders that result in difficulties standing and walking,"Gait Trainers; Mobility; Motor Skills, Development",outcomes; gait training; supportive walking; postural support; equipment; prescription; provision;environmental considerations;,N,,,,Debbie,,N/A,1039,,,all,
