,,,,,,,,,"Allows us to identify objects that are duplicated in the database, and link Digital Lab-generated ID#s to the objects in this spreadsheet",These are the titles of the objects; can include terms in search filter; include on blade.,This column lets us know what work needs to be done for the object to be web-ready ,"Part of algorthim prompting updates to content, so the appropriate person is alerted/contacted",Use for algorithm to prompt updates to objects. These would be back-up people to support updates,"only relevant when the object is not yet web-ready, or needs revisions (does not need to be part of database). ",internal use to allow us to track progress on updates to make objects web-ready,For new or not yet updated content: ,Include in algorithm to prompt updates so we know where to go  (i.e. the program is responsible for maintaining the object),Info to include on blade,Info to include on blade,Exclude from search terms; For internal use only (no longer to appear on the blade),Exclude from search term; Content - include on blade,Exclude from search terms; Include on blade to allow users to access the external resource,For algorithm to prompt us to update object for currency,,"No longer using this tag, in order to simplify the user experience",This info appears on the blade but no longer being used as a filter in order to simplify the user experience,For internal use so the person uploading the resource knows what type of file format to save it in or look for to upload,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,Navigation,For team to reference when tagging information hierarchy,Content to include on blade; exclude from search terms,Filter,Filter,Search terms,Filter,Toggle for audience (clinician vs. family),Recommended for you' tag (algorithm for proposing new resources for the user to explore),For internal use in the database.,Used within algorithm to prompt updates to objects - directs us to the relevant content expert,Filter,This information can populate a field on the 'blades' for each object,This is the order of resources as of 2021Sep9. Delete this when it's not needed anymore,Thumbnail images for each object for users to see when browsing,Content - object 'rating' based on accessibility characteristics. Rating levels TBD. Could be on the blades or could be an icon on the thumbnail view (advise as to which is best approach),"Exclude from search terms; filter, could be part of advanced search; can include as info on blade",
"Jun 22, 2021",,,,,,,Y,Y,816,Saskatchewan FASD Support Network Resources,Web-ready,Tanja,,add,n/a,27-May-21,Complex Developmental Behavioural Conditions,External,Saskatchewan FASD Network,?,2021,https://www.saskfasdnetwork.ca/resources,28-Apr-22,"Educators, families, clinicians",All,Website,web link,Making Treatment Choices,Learn About Health Conditions,--,,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,--,,,,"Intervention, background",Provides learning resources for various stakeholders providing background on FASD as well as coping strategies,Fetal alcohol spectrum disorder,All,"FASD, strategies, background",N,Y,N,,Jen E.,All,"saskatchewan, canada",955,,,Beginner,
,,,,,,,,,818,School Function Assessment (SFA),Web-ready,Lex,"Tanja, Debbie",,,,,Internal – Evidence Centre,"Wendy J Coster, Theresa Deeney, Jane T Haltiwanger, Stephen M Haley ",Tool 1998,,see Ax Info Card spreadsheet for associated links,"July 19, 2021",Clinicians,"OT, PT, SLP, educators, psychology, all",Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring","assesses elementary school students' performance of school-related functional activities, their support needs and participation in various school-related activity settings",All,"Hand, arm use, printing, Positioning, mobility, lower body, Swallowing, eating, drinking  , Communication, Thinking, cognition, Vision, hearing, touch, other senses, Behaviour, emotion, social skills, Learning, education, Play, recreation, physical activity, Personal care, home routines","activities of daily living, ADL, self-care, assistance needed, development, independence, participation, executive functioning, self-efficacy, environment, ",N,N,N/A,,Debbie & Claire,"Early Years (0-6 years), School Age (5-19 years)",N/A,663,,,original sources,
,,,,,,,,,819,School Inclined Cut-out Desks,Web-ready,Claire,Ivonne M.  OT Debbie F.  (edited tags),,,,,Internal,"Ivonne M. , OT & Jennifer Law OT (and OT students)",2018,,http://www.seatingandmobility.ca/Libraries/Wheeled_Mobility/UseofCutOutInclinedDesks.sflb.ashx,28-May-21,"families, caregivers, clincians, educators","OT, PT, HCP students",Handout,Non-fillable PDF,,,,,,,,,,,Intervention,Handout describing What is a cut-out desk with inclined surface and where should it be used? What are the best suggestions for classroom seating? Where can I find a cut-out desk? and references for further information,those with motor and/or visual impairments ,"hand use, writing/printing, vision, postural control","inclined desk, angled desk, slant board, angled support surface, writing support, treatment, accommodation, classroom furniture, postural support, ",N,,,,Debbie & Claire,,N/A,960,,,,
,,,,,,,,,820,School Version of the Assessment of Motor and Process Skills - 2nd Edition (School AMPS),Web-ready,Lex,"Tanja, Debbie",,,,,Internal – Evidence Centre,"AG Fisher, K Bryze, BT Atchison",Tool 2007,,see Ax Info Card spreadsheet for associated links,"July 16, 2021",Clinicians,OT,Assessment Info Card,Ax Toolkit entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,"Assessment, Diagnosis & Monitoring","evaluates performance quality of everyday tasks in a natural environment. The School AMPS evaluates a student’s quality of schoolwork task performance in typical classroom settings. The general AMPS is another version used for a broader range of ages, activities and environments. Training and certification required for AMPS and School AMPS administration and scoring.",All,"Positioning, mobility, lower body, Swallowing, eating, drinking  , Communication, Thinking, cognition, Behaviour, emotion, social skills, Learning, education","class room behaviour, safety, independence, Fine motor, Positioning, Gross motor, Coordination, Communication, Cognition and Executive function, Social skills",N,N,N/A,,Debbie ,"School Age (5-19 years), Early Years (0-6 years)",N/A,677,,,Original sources,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,821,School-Aged Therapy: Therapy BC,Web-ready,Claire,,,,,,External,TherapyBC,,,https://therapybc.ca/the-school-aged-therapy-sat/,"August 9, 2021","families, caregivers, clinicians, educators",,Program,web link,,,,,,,,,,,Community Supports & Services,"Information about School-Aged Therapy, which provides occupational therapy and physiotherapy services to school-aged children and youth with special needs to assist them in meeting their educational goals and to help them achieve their highest level of independent functioning within their home, school and community settings ",various disabilities,,"SAT, Ministries of Educations, MCFD, Ministry of Children and Family Development, rehabilitation system, therapy-related programs and services, program guidelines, eligibility criteria, referral, provincial outreach program for autism and related disorders, POPARD, inclusion outreach, special education technology British Columbia, SETBC, inclusive education resources, individual education planning, for students with special needs, ministry of education, a guide to adaptations and modifications, IEP, special education services, manual of policies, procedures and guidelines, pediatric therapy, school, developmental delay, developmental disability, school entry, school exit",N,N,N,,,"Early Years, School Age, Youth",BC,407,,,,
June 23-21,,,,,,,,,822,SCI-University Wheelchair Skill e-Course,web-ready,Debbie,,,,,,External,SCI U (funded by Rick Hansen Institute),,,http://sci-u.ca/wheelchair/,May 31-21,"Clients, families, caregivers, clinicians, educators",all,"website, webinars",online webinar,,,,,,,,,,,"Services, Supports and Community Resources","One of a series of 10 online freely available courses designed for people with spinal cord injury. Takes approximately 30-45 minutes to complete, and includes quizzes to test self-knowledge on types of wheelchairs,  fit and  set-up, safety and maintenance, partners in care (therapists and vendors), transfers, wheelchair skills, (indoor, community,  advanced) and problem-solving past barriers with case examples. Other webinar topics include skin, pain, physical activity, nutrition, bowel and bladder, sexuality and fertility ",Spinal Cord Injury (or others in need of a wheelchair),"wheelchair use, mobility, ","manual wheelchair; manual mobility; equipment; postural support; prescription; training; environmental considerations; provision, maintenance, education",Y,,,Manual Mobility Wheeling,Debbie,,N/A,1105,,,all,
June 23-21,,,,,,,,,822,SCI-University Wheelchair Skill e-Course,web-ready,Debbie,,,,,,External,SCI U (funded by Rick Hansen Institute),,,http://sci-u.ca/wheelchair/,May 31-21,"Clients, families, caregivers, clinicians, educators",all,"website, webinars",online webinar,,,,,,,,,,,Intervention,"One of a series of 10 online freely available courses designed for people with spinal cord injury. Takes approximately 30-45 minutes to complete, and includes quizzes to test self-knowledge on types of wheelchairs,  fit and  set-up, safety and maintenance, partners in care (therapists and vendors), transfers, wheelchair skills, (indoor, community,  advanced) and problem-solving past barriers with case examples. Other webinar topics include skin, pain, physical activity, nutrition, bowel and bladder, sexuality and fertility ",Spinal Cord Injury (or others in need of a wheelchair),"wheelchair use, mobility, ","manual wheelchair; manual mobility; equipment; postural support; prescription; training; environmental considerations; provision, maintenance, education",Y,,,Manual Mobility Wheeling,Debbie,,N/A,1106,,,all,
June 23-21,,,,,,,,,822,SCI-University Wheelchair Skill e-Course,web-ready,Debbie,,,,,,External,SCI U (funded by Rick Hansen Institute),,,http://sci-u.ca/wheelchair/,May 31-21,"Clients, families, caregivers, clinicians, educators",all,"website, webinars",online webinar,,,,,,,,,,,Assessment,"One of a series of 10 online freely available courses designed for people with spinal cord injury. Takes approximately 30-45 minutes to complete, and includes quizzes to test self-knowledge on types of wheelchairs,  fit and  set-up, safety and maintenance, partners in care (therapists and vendors), transfers, wheelchair skills, (indoor, community,  advanced) and problem-solving past barriers with case examples. Other webinar topics include skin, pain, physical activity, nutrition, bowel and bladder, sexuality and fertility ",Spinal Cord Injury (or others in need of a wheelchair),"wheelchair use, mobility, ","manual wheelchair; manual mobility; equipment; postural support; prescription; training; environmental considerations; provision, maintenance, education",Y,,,Manual Mobility Wheeling,Debbie,,N/A,1107,,,all,
Vetting completed to criteria objectivity/conflict of interest,,,unsure,,,,,,823,Search and Rescue for Autism (SARA),Web-ready,Claire,N/A,,,,,External,Autism Canada,,,http://sarautism.org,4-Aug-21,"families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,Community supports & services,Information about search and rescue for autism. Includes resources for the autism community. ,autism,,"lost, social stories, first responders, public safety canada, wandering, bolting, prevention",N,N/A,N/A,,,All,Canada-Wide,143,,,,
June 23-21,,,not sure when created but could be updated,,,,,,824,Search for postural control and children : Medline,change title,Debbie,? Andrea & Roslyn,web-ready; title delete Medline or update Medline to PubMed,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?cmd=PureSearch&term=((((posture%5Btiab%5D+OR+postural%5Btiab%5D)+AND+(((control%5Btiab%5D+OR+management%5Btiab%5D)+OR+alignment%5Btiab%5D)+OR+stability%5Btiab%5D))+AND+((((seat%5Btiab%5D+OR+seated%5Btiab%5D)+OR+seating%5Btiab%5D)+OR+sit%5Btiab%5D)+OR+sitting%5Btiab%5D))+AND+((((child%5Btiab%5D+OR+infant%5Btiab%5D)+OR+children%5Btiab%5D)+OR+childhood%5Btiab%5D)+OR+infants%5Btiab%5D)),May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Assessment,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[tiab]) OR children[tiab]) OR childhood[tiab]) OR infants[tiab])),those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; ,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Research,Debbie,,N/A,1055,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,824,Search for postural control and children : Medline,change title,Debbie,? Andrea & Roslyn,web-ready; title delete Medline or update Medline to PubMed,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?cmd=PureSearch&term=((((posture%5Btiab%5D+OR+postural%5Btiab%5D)+AND+(((control%5Btiab%5D+OR+management%5Btiab%5D)+OR+alignment%5Btiab%5D)+OR+stability%5Btiab%5D))+AND+((((seat%5Btiab%5D+OR+seated%5Btiab%5D)+OR+seating%5Btiab%5D)+OR+sit%5Btiab%5D)+OR+sitting%5Btiab%5D))+AND+((((child%5Btiab%5D+OR+infant%5Btiab%5D)+OR+children%5Btiab%5D)+OR+childhood%5Btiab%5D)+OR+infants%5Btiab%5D)),May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Intervention,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[tiab]) OR children[tiab]) OR childhood[tiab]) OR infants[tiab])),those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; ,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Research,Debbie,,N/A,1056,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,825,Search PubMed - Seating for Muscular Dystrophy or Spinal Muscular Atrophy,"Web-ready, but could do with updating in  near future",Debbie,? Andrea & Roslyn,,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=seating%5BAll+Fields%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Assessment,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[,those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; provision,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,N/A,1061,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,825,Search PubMed - Seating for Muscular Dystrophy or Spinal Muscular Atrophy,"Web-ready, but could do with updating in  near future",Debbie,? Andrea & Roslyn,,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=seating%5BAll+Fields%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Intervention,NIH search using: ((((posture[tiab] OR postural[tiab]) AND (((control[tiab] OR management[tiab]) OR alignment[tiab]) OR stability[tiab])) AND ((((seat[tiab] OR seated[tiab]) OR seating[tiab]) OR sit[tiab]) OR sitting[tiab])) AND ((((child[tiab] OR infant[,those that require use of seating and mobility equipment,sitting; postural control; seating,postural control; sitting posture; seating; assessment; prescription; provision,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,N/A,1062,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,826,Search PubMed - Wheelchairs for Muscular Dystrophy or Spinal Muscular Atrophy,"Web-ready, but could do with updating in  near future",Debbie,? Andrea & Roslyn,,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=%22Wheelchairs%22%5BMajr%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Assessment,"NIH search using: ""Wheelchairs""[Majr] AND (""muscular dystrophy""[All Fields] OR ""spinal muscular atrophy""[All Fields])",those that require use of seating and mobility equipment,wheelchair use; manual mobility; power mobility,wheelchair; mobility; assessment; prescription; provision; ,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,N/A,1059,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,826,Search PubMed - Wheelchairs for Muscular Dystrophy or Spinal Muscular Atrophy,"Web-ready, but could do with updating in  near future",Debbie,? Andrea & Roslyn,,,,,Internal,SHHC librarian,not sure,,https://pubmed.ncbi.nlm.nih.gov/?term=%22Wheelchairs%22%5BMajr%5D+AND+(%22muscular+dystrophy%22%5BAll+Fields%5D+OR+%22spinal+muscular+atrophy%22%5BAll+Fields%5D)&cmd=DetailsSearch,May 20-21,"clinicians, researchers","OT, PT, HCP students",ready-made database search ,weblink,,,,,,,,,,,Intervention,"NIH search using: ""Wheelchairs""[Majr] AND (""muscular dystrophy""[All Fields] OR ""spinal muscular atrophy""[All Fields])",those that require use of seating and mobility equipment,wheelchair use; manual mobility; power mobility,wheelchair; mobility; assessment; prescription; provision; ,N,,,Current SeatingandMobility.ca topic/webpage: Manual Mobility Family Resources BC WC Provision Guide,Debbie,,N/A,1060,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,827,Search the proceedings of the International Seating Symposia ,update weblink,Debbie,,update title to Vancouver International Seating Symposium and update link to http://seatingsymposium.com/previous-iss-brochures.php,,,PMT,Internal,"SHHC (Maureen S. , Catherine Ellens, Roslyn L. ) (International Seating Symposium Committee)",not sure,,http://www.seatingandmobility.ca/InternationalSeatingSymposium.aspx,May 20-21,"clinicians, researchers","OT, PT, HCP students",weblinks to downloadable pdfs,weblink,,,,,,,,,,,Intervention,weblink to archived conference proceedings alternate years starting 2002 to 2020,those that require use of seating and mobility equipment,"seating; mobility, postural control; wheelchair, alternate positioning; pressure management; ",seating; assessment;provision; support surfaces; positioning; wheelchair; mobility; sitting posture; pressure injury; pressure sore; skin health; equipment; postural support; prevention; prescription; cushions; training; transportation; environmental considerations;,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Searches,Debbie,,N/A,1057,,,all,
June 23-21,,,not sure when created but could be updated,,,,,,827,Search the proceedings of the International Seating Symposia ,update weblink,Debbie,,update title to Vancouver International Seating Symposium and update link to http://seatingsymposium.com/previous-iss-brochures.php,,,PMT,Internal,"SHHC (Maureen S. , Catherine Ellens, Roslyn L. ) (International Seating Symposium Committee)",not sure,,http://www.seatingandmobility.ca/InternationalSeatingSymposium.aspx,May 20-21,"clinicians, researchers","OT, PT, HCP students",weblinks to downloadable pdfs,weblink,,,,,,,,,,,Assessment,weblink to archived conference proceedings alternate years starting 2002 to 2020,those that require use of seating and mobility equipment,"seating; mobility, postural control; wheelchair, alternate positioning; pressure management; ",seating; assessment;provision; support surfaces; positioning; wheelchair; mobility; sitting posture; pressure injury; pressure sore; skin health; equipment; postural support; prevention; prescription; cushions; training; transportation; environmental considerations;,N,,,Current SeatingandMobility.ca topic/webpage: Postural Management Searches,Debbie,,N/A,1058,,,all,
June 23-21,,,needs updating,,,,,,828,Seating assessment e-learning module,needs updating,Debbie F. ,"Catherine E.  OT, Lynore M. PT, Maureen S.  OT/PT",revise content for currency. ,,,PMT,Internal,Maureen S.  OT/PT,2007?,,https://learninghub.phsa.ca/Courses/19586/seating-module,May 28-21,clinicians,"OT, PT, HCP students",e-learning module,"webpages, videos, photos",,,,,,,,,,,Assessment,freely available e-learning module that introduces therapists and therapy students to foundational knowledge and skills needed for seating and mobility assessment and interventions,those that require postural support and/or use seating and mobility equipment,"Sitting Posture; Seating; Wheelchair Use; Postural Control; Pressure Injury Prevention, Pressure Injury Mangement, Positioning, ","wheelchair; mobility; sitting posture; ; postural support; evaluation, measurement, prescription; training; ",Yes,,,,Debbie,,N/A,631,,,beginner-intermediate,
June 23-21,,,needs updating,,,,,,828,Seating assessment e-learning module,needs updating,Debbie F. ,"Catherine E.  OT, Lynore M. PT, Maureen S.  OT/PT",revise content for currency. ,,,PMT,Internal,Maureen S.  OT/PT,2007?,,https://learninghub.phsa.ca/Courses/19586/seating-module,May 28-21,clinicians,"OT, PT, HCP students",e-learning module,"webpages, videos, photos",,,,,,,,,,,Intervention,freely available e-learning module that introduces therapists and therapy students to foundational knowledge and skills needed for seating and mobility assessment and interventions,those that require postural support and/or use seating and mobility equipment,"Sitting Posture; Seating; Wheelchair Use; Postural Control; Pressure Injury Prevention, Pressure Injury Mangement, Positioning, ","wheelchair; mobility; sitting posture; ; postural support; evaluation, measurement, prescription; training; ",Yes,,,,Debbie,,N/A,632,,,beginner-intermediate,
June 23-21,,,,,,,,,829,Seating for Spinal Cord Injury Learning Modules ( New South Wales),web-ready but need to update title and link to webpages,Debbie,,update title to NSW ACI State Spinal Seating Professional Development Program; update link to https://aci.health.nsw.gov.au/networks/spinal-cord-injury/spinal-seating,,,,External,New South Wales Ministry of Health,2008,2016,www.health.nsw.gov.au/gmct/spinal/sspdp/index.asp,June 2-21,clinicians,"OT, PT, Drs,  HCP students",education module,"webpages, pdf, videos",,,,,,,,,,,Intervention,"freely available online education module designed for healthcare professionals to aquire clinical knowledge in seating and mobility assessment and interventions. Consists of 10 modules covering topics such as client profile, taking measurements,  evaluation of equipment, framework for intervention, postural interventions, pressure management, manual and propulsion assist and power wheelchairs.",SCI (and other physical disabilities that require seating and mobility interventions),"wheelchair use, mobility, posture, postural control, skin health","education, seating, mobility,  measurement,  evaluation, equipment, postural support, pressure injury prevention and management, propulsion-assist, wheelchairs. Sitting posture",Y,,,Education Online Learning,Debbie,,N/A,1147,,,all,
June 23-21,,,,,,,,,829,Seating for Spinal Cord Injury Learning Modules ( New South Wales),web-ready but need to update title and link to webpages,Debbie,,update title to NSW ACI State Spinal Seating Professional Development Program; update link to https://aci.health.nsw.gov.au/networks/spinal-cord-injury/spinal-seating,,,,External,New South Wales Ministry of Health,2008,2016,www.health.nsw.gov.au/gmct/spinal/sspdp/index.asp,June 2-21,clinicians,"OT, PT, Drs,  HCP students",education module,"webpages, pdf, videos",,,,,,,,,,,Assessment,"freely available online education module designed for healthcare professionals to aquire clinical knowledge in seating and mobility assessment and interventions. Consists of 10 modules covering topics such as client profile, taking measurements,  evaluation of equipment, framework for intervention, postural interventions, pressure management, manual and propulsion assist and power wheelchairs.",SCI (and other physical disabilities that require seating and mobility interventions),"wheelchair use, mobility, posture, postural control, skin health","education, seating, mobility,  measurement,  evaluation, equipment, postural support, pressure injury prevention and management, propulsion-assist, wheelchairs. Sitting posture",Y,,,Education Online Learning,Debbie,,N/A,1148,,,all,
Unsure re: relevance,,,,,,,,,830,Seizure First Aid Video,Screening,Maddy,N/A,,,,,External,Epilepsy Toronto,,,https://epilepsytoronto.org/about-epilepsy/learn-about-epilepsy/seizure-first-aid/,8-Jun-21,"families, caregivers, clinicians",All,Website/page,web link,,,,,,,,,,,Intervention,Videos with examples on what to do if you are with someone having a compulsive or non-compulsive seizure,epilepsy,,"epilepsy, seizure, compulsive, non-compulsive, first aid, video, what to do",N,N/A,N/A,,,,N/A,1263,,,,
"June 22, 2021",,,,,,,,,831,Selective Control Assessment of the Lower Extremity (SCALE),Ready for upload,Debbie,Tanja,,,,,Internal – Evidence Centre,"Eileen G Fowler, Loretta A Staudt, Marcia B Greenberg, William L Oppenheim",Tool 2009,,see Ax Info Card spreadsheet for associated links,19-May-21,Clinicians,"Physician, Nurse, PT, OT",Assessment Info Card,Ax Toolkit Entry,Assessment,Learn About Assessments,Assessment Toolkit,,,,,,,,Assessment,evaluates selective voluntary motor control of individuals with spastic cerebral palsy,cerebral palsy,"Play, recreation, physical activity, Positioning, mobility, lower body, Bone, muscle, skin health","motor control, movement quality, contracture, lower limb, hip, knee, ankle, foot, spasticity, ROM",N,N,N/A,,,All,N/A,674,,,Advanced,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,832,Selective Mutism,Web-ready,Claire,N/A,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,,,https://anxietycanada.com/disorders/selective-mutism/,"August 26, 2021","families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,Background ,General information on Selective mutism,selective mutism ,speech,"selective mutism, social anxiety, anxiety disorder",N,N/A,N/A,,Marilyn N. /Kim,All,,107,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,unknown,,,,,,832,Selective Mutism,Web-ready,Claire,N/A,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,,,https://anxietycanada.com/disorders/selective-mutism/,"August 26, 2021","families, caregivers, clinicians, educators",All,Website/page,web link,,,,,,,,,,,"Services, Supports and Community Resources",General information on Selective mutism,selective mutism ,speech,"selective mutism, social anxiety, anxiety disorder",N,N/A,N/A,,Marilyn N. /Kim,All,,108,,,N/A,
,,,,,,,Y,Y,836,"Selective Mutism: An Assessment and Intervention Guide for Therapists, Educators and Parents",Web-ready,Steph,Tanja,,,,CDBC?,External,Selective Mutism Association,,© 2021,https://bcch.andornot.com/en/permalink/catalog123299 ,"May 12, 2022","Families/caregivers, Clinicians",all,Book,Other,Assessment,Learn About Health Conditions,,,Learn About Assessments,Other Assessment Resources,Assessment Pathways and Protocols,,,,Assessment,"This book includes assessment and treatment information, case examples, easy-to-implement workbook sheets, and informative handouts for Selective Mutism. ","Language delay, communication disorder ",Communication,"selective mutism, assessment, intervention",N,N/A,N/A,,Lucy R. ,All,NA,1385,,,,
,,,,,,,Y,Y,836,"Selective Mutism: An Assessment and Intervention Guide for Therapists, Educators and Parents",Web-ready,Steph,Tanja,,,,CDBC?,External,Selective Mutism Association,,© 2021,https://bcch.andornot.com/en/permalink/catalog123299 ,"May 12, 2022","Families/caregivers, Clinicians",all,Book,Other,Making Treatment Choices,Learn About Health Conditions,,,"Learn About Treatment, Care and Activities",Health Condition-specific Resources,,,,,Intervention,"This book includes assessment and treatment information, case examples, easy-to-implement workbook sheets, and informative handouts for Selective Mutism. ","Language delay, communication disorder ",Communication,"selective mutism, assessment, intervention",N,N/A,N/A,,Lucy R. ,All,NA,1386,,,,
Vetting completed to criteria objectivity/conflict of interest,,,2014,,,,,,837,"Selective Mutism: Giving Kids a Voice with Dr. Annie Simpson
",Web-ready,Claire,N/A,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,2014,,https://www.youtube.com/watch?v=C_qeJWkkwHU,"August 26, 2021","families, caregivers, clinicians, educators",All,Video,web link,,,,,,,,,,, Background,"Youtube Video about selective mutism that includes strategies for helping kids who are very ""shy"" or who have selective mutism be brave and talk at home, school and in public",selective mutism ,speech,"youtube video, selective mutism",Y,N/A,N/A,,Marilyn N. /Kim,,Universal,109,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,2014,,,,,,837,"Selective Mutism: Giving Kids a Voice with Dr. Annie Simpson
",Web-ready,Claire,N/A,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,2014,,https://www.youtube.com/watch?v=C_qeJWkkwHU,"August 26, 2021","families, caregivers, clinicians, educators",All,Video,web link,,,,,,,,,,,Intervention,"Youtube Video about selective mutism that includes strategies for helping kids who are very ""shy"" or who have selective mutism be brave and talk at home, school and in public",selective mutism ,speech,"youtube video, selective mutism",Y,N/A,N/A,,Marilyn N. /Kim,,Universal,110,,,N/A,
Vetting completed to criteria objectivity/conflict of interest,,,2014,,,,,,837,"Selective Mutism: Giving Kids a Voice with Dr. Annie Simpson
",Web-ready,Claire,N/A,,,,Complex Developmental and Behavioural Conditions,External,Anxiety Canada,2014,,https://www.youtube.com/watch?v=C_qeJWkkwHU,"August 26, 2021","families, caregivers, clinicians, educators",All,Video,web link,,,,,,,,,,,"Services, Supports and Community Resources","Youtube Video about selective mutism that includes strategies for helping kids who are very ""shy"" or who have selective mutism be brave and talk at home, school and in public",selective mutism ,speech,"youtube video, selective mutism",Y,N/A,N/A,,Marilyn N. /Kim,,Universal,111,,,N/A,
Follow-up with Kim re: credibility and relevance,,,,,,,,,838,Self Advocate Net,Screening,Maddy,N/A,,,,,External,Self Advocate Net,,© 2021,https://selfadvocatenet.com/,10-Jun-21,"families, caregivers, children/youth",All,Website/page,web link,,,,,,,,,,,Community Supports and Services,"Information about self-advocacy, opportunities to join groups, and tools for starting an advocacy group ",,,"advocacy, community events, resources, employment, services, local groups, health, housing, relationships",N,N/A,N/A,,Cynthia V. ,,BC,249,,,,
,,,2001,,,,,,840,Self-Identified Goals Assessment (SIGA) Protocol,,Claire,,,,,,External,,,,http://www.childdevelopment.ca/Libraries/Collaborative_Goal_Setting/Self_Identified_Goals_Protocol.sflb.ashx,"July 7, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,N/A,872,,,,
,,,,,,,,,841,Sensory handouts (SH),currently on TherapyBC website but need to be updated to EC standards,Alyssa,,Update for currency; add tags,,,,Internal,Sunny Hill,,,http://therapybc.ca/handouts/#44-wpfd-sensory-equipment-use-in-schools,,School teachers,,Web-based toolkit,,,,,,,,,,,,Intervention,,,,,N,,,,,,N/A,930,,,,
